Index,processed_text
0,"dear bjp , please read usershashitharoor tweet completely . clearly mentioned unless parent object . much ! repeat"
1,oh ye nai ho sakta mt usersonykalloor number bjp mlas benefit illegal iron mining goa ht bjp iit cm ask resign ?
2,minority towards bjp modi . repeat ji . repeat time news channel report .
3,bjp afraid usershashitharoor think braveheart daughter nation . bjp always make politics non political thought .
4,every girl beautiful boyz . repeat reject . sad
5,bjp vp mesquita say sudip tamankar parrikar creation turn . hope bjp mlas mp baby turn cm
6,fuck point democracy choice get gandhi family kavi samellan oldie unite bjp ?
7,goa bjp cm want special status4 goa nat l leadership oppose article number give special status kashmir . doublespeak2 fool goans ?
8,bjp perennial habit politicise every issue . must constructive play role making anti rape law .
9,useramsinghvi sutta song well one protest . honey singh famous wrong time .
10,bjp poster sharper clarity leadership jagdish shettar shy smile r ashok . national leader bjp poster .
11,thanq bos happy rt userallabouttaurus hashtag taurus hashtag genuine people .
12,tv9 bjp leader nvss prabhakar separate telangana part number hashtag telangana hashtag
13,bjp insensitive cause woman congress
14,"cut security bjp vinod tawade tawade , prominent bjp leader , meet police chief satyapal singh . repeat"
15,"change , please watch documentary bjp sit mla yogi adityanath"
16,hashtag nation want know hashtag bjp still exist ? tong uservikramgarewal
17,userhttweets bjp ask pm confer bharat ratna vajpayee hashtag ht hashtag useroinkoo answer . repeat
18,"ellamae height like press bjp mahila morcha president , smt . smriti irani number congress hatao desh bachao number"
19,tweet
20,ashok chakra delhi rape victim ! . repeat c mon bjp good thing say
21,good night world hashtag ram ram hashtag khush raho n pray u happy tc
22,bjp leader try unseat shettar yeddyurappa
23,"crucial year bjp . time reach people , declare namo pm candidate . much time leave"
24,"spineless attitude congress help communal force like bjp mim andhra , happen state ."
25,add video useryoutube playlist live bjp press conference syed shahnawaz hussain 1 st january
26,rss leader kalladka bhat mangalore mp nalin kumar famous spew venom public . bjp give ticket nalin woo rss usergsurya
27,people snapchat back wid wht cong ? wen slam bjp say dnt hv mention varun wen slam owaisi . practice wht preach
28,"bjp want win delhi state , decide candidate ."
29,"friend bjp newsletter . subscribe , already ."
30,saw bjp banner ad hindu website . repeat must say really awful creative
31,"flop aww ! rt userheadlinesindia sheila dikshit peace march flop drama , say bjp hashtag india hashtag hashtag news hashtag"
32,"number bjp surely divide hashtag bjp hashtag swaraj , hashtag bjp hashtag modi , hashtag bjp hashtag modi , hashtag bjp hashtag n , hashtag bjp hashtag like hashtag janta dal hashtag"
33,"smt meenakshi lekhi ibtl bharat samvaad advocate , supreme court social activist , pres mahila morcha , bjp smt . repeat"
34,"choice bjp president would arun jaitley . pm , prize guess !"
35,"happy rt useribnebattuta bjp criticize owaisi actually hey bhagwaan , get competition ! good u"
36,"number bjp surely divide hashtag bjp hashtag swaraj , hashtag bjp hashtag modi , hashtag bjp hashtag modi , hashtag bjp hashtag n , hashtag bjp hashtag like hashtag janta dal hashtag"
37,way bjp gain ktaka polarise voter . bring anant k hegde
38,tv9 cpi ready fight telangana bjp hashtag telangana hashtag
39,"bjp screw ktaka . shobakka , serve minister state question law order situation state . huh !"
40,tv9 cpi ready fight telangana bjp tv9 cpi ready fight telangana bjp sneha . repeat
41,"prof gowda say bjp , shiv sena thrive communal hatred . repeat wat congress ? repeat ncp ? muslim league india ? mim ?"
